Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,1.105996417,364.0,8572,86,98,751
0.0,true,0.602620022,406.0,13380,112,131,872
0.0,true,1.204953079,574.0,19790,162,185,1123
0.0,true,1.613948372,408.0,12570,103,124,853
0.0,true,0.90329759,324.0,10883,88,101,700
0.0,true,1.578954015,396.0,10980,100,117,839
0.0,true,1.643041029,478.0,13446,116,146,972
0.0,true,0.387125959,344.0,10981,93,104,773
0.0,true,0.571925348,276.0,7782,69,78,604
0.0,true,0.65402813,384.0,15394,116,131,813
0.0,true,0.404255261,312.0,8400,69,88,700
0.0,true,0.76481039,344.0,9667,102,114,766
0.0,true,0.938276836,472.0,14941,120,148,1024
0.0,true,0.937678786,294.0,8651,79,92,646
0.0,true,1.08126959,348.0,9315,88,105,746
0.0,true,0.777713448,296.0,12947,106,117,677
0.0,true,0.698773046,316.0,9683,83,97,696
0.0,true,0.627913579,340.0,10374,95,113,755
0.0,true,0.707872328,378.0,12794,110,131,837
0.0,true,1.331340678,508.0,13945,125,152,1052
0.0,true,1.110388505,350.0,8039,67,77,701
0.0,true,1.473234227,394.0,11171,91,107,784
0.0,true,0.84631726,382.0,8711,93,107,828
0.0,true,0.978379521,396.0,8577,86,101,809
0.0,true,1.049757939,396.0,14264,103,121,824
0.0,true,0.719263876,346.0,10320,102,117,769
0.0,true,0.737819255,388.0,8621,85,99,806
0.0,true,0.997930078,412.0,9983,101,120,890
0.0,true,0.553603227,388.0,11063,91,114,823
0.0,true,1.514193163,430.0,10007,101,123,865
0.0,true,0.447862043,384.0,11452,106,119,854
0.0,true,0.693450953,318.0,9998,88,95,684
0.0,true,1.30244403,432.0,13706,133,149,903
0.0,true,1.233909926,404.0,12501,107,127,847
0.0,true,1.859238045,406.0,11799,107,128,894
0.0,true,0.881130853,314.0,9126,87,95,692
0.0,true,0.740962772,354.0,9482,74,91,740
0.0,true,0.540133135,394.0,10556,88,110,834
0.0,true,1.004206744,396.0,11235,96,115,820
0.0,true,1.588769171,408.0,11279,95,120,851
0.0,true,0.796949079,302.0,9199,81,90,652
0.0,true,0.843530733,412.0,14375,112,127,842
0.0,true,0.980320852,332.0,9842,88,99,699
0.0,true,1.191753415,368.0,9439,95,108,769
0.0,true,0.572443703,332.0,10962,89,103,757
0.0,true,0.90944447,378.0,9798,82,99,832
0.0,true,1.332072916,390.0,9200,91,102,776
0.0,true,0.92206427,398.0,14236,108,128,840
0.0,true,0.821375355,352.0,11270,106,124,813
0.0,true,1.183469652,314.0,8682,90,98,684
0.0,true,1.014562012,364.0,8472,88,103,771
0.0,true,0.846711526,314.0,8033,77,87,703
0.0,true,1.818440906,446.0,12633,117,132,888
0.0,true,4.23062584,412.0,13095,121,142,865
0.0,true,3.327524277,320.0,8508,87,99,734
0.0,true,0.770008099,370.0,11207,103,118,786
0.0,true,0.568638742,280.0,9118,71,81,607
0.0,true,0.474747214,358.0,11729,105,119,806
0.0,true,0.930000183,382.0,10506,96,117,823
0.0,true,0.931650417,314.0,8494,75,82,642
0.0,true,0.794163028,306.0,10488,82,97,666
0.0,true,0.835458785,372.0,10511,104,119,794
0.0,true,0.41675425,304.0,11068,88,98,683
0.0,true,0.331396745,260.0,9384,69,82,625
0.0,true,0.534864263,356.0,10439,94,105,763
0.0,true,0.996736992,400.0,9599,106,120,836
0.0,true,0.394490743,334.0,12381,99,112,748
0.0,true,0.605365977,430.0,12166,91,107,843
0.0,true,0.667969251,438.0,12387,113,136,960
0.0,true,1.156332225,454.0,16720,123,151,933
0.0,true,1.055081588,428.0,10631,116,136,873
0.0,true,1.845166832,456.0,10087,98,127,913
0.0,true,1.097965816,338.0,9814,87,101,689
0.0,true,0.611034184,296.0,9948,79,92,675
0.0,true,0.978882393,358.0,11586,83,103,762
0.0,true,1.425662058,388.0,9961,88,102,798
0.0,true,0.600648488,346.0,9467,88,98,745
0.0,true,0.653809083,368.0,10575,95,109,794
0.0,true,0.588893881,336.0,13702,95,108,752
0.0,true,0.81752985,318.0,10569,104,114,682
0.0,true,0.582059673,354.0,11961,106,117,750
0.0,true,0.964279333,374.0,11211,105,127,783
0.0,true,0.624575829,356.0,9991,81,99,750
0.0,true,0.788239252,394.0,14511,102,118,801
0.0,true,1.71972946,414.0,13725,99,122,800
0.0,true,0.906168992,296.0,7553,79,87,644
0.0,true,1.046917745,428.0,11002,99,118,840
0.0,true,0.470599425,302.0,9596,78,88,664
0.0,true,0.428023666,342.0,11949,85,98,738
0.0,true,0.543413427,350.0,13354,112,125,787
0.0,true,0.501106329,326.0,9609,79,88,710
0.0,true,0.490341389,374.0,11643,108,124,798
0.0,true,0.801826814,564.0,18123,155,180,1101
0.0,true,0.944745223,436.0,12395,121,140,880
0.0,true,0.7045833,332.0,10315,86,105,742
0.0,true,0.66062486,406.0,13423,113,132,879
0.0,true,0.868103794,306.0,11136,93,105,670
0.0,true,0.777578786,410.0,13271,109,133,863
0.0,true,0.435609656,336.0,9302,87,107,757
0.0,true,0.437464818,356.0,12762,89,101,729
0.0,true,0.981577911,418.0,11029,93,118,833
0.0,true,0.911389637,372.0,11352,102,121,796
0.0,true,0.930746704,346.0,8678,76,93,723
0.0,true,0.744549953,486.0,13733,114,137,967
0.0,true,0.800141158,366.0,10381,82,99,756
0.0,true,0.698638159,362.0,11185,89,106,740
0.0,true,0.733634139,414.0,11253,98,118,862
0.0,true,0.66698934,304.0,8328,75,87,658
0.0,true,0.729626709,292.0,6971,66,77,625
0.0,true,0.631132447,348.0,10358,90,105,729
0.0,true,0.533660122,288.0,7411,71,83,643
0.0,true,0.466550736,388.0,12089,85,104,798
0.0,true,0.455769559,306.0,9957,82,88,680
0.0,true,1.28867551,516.0,17790,154,173,1081
0.0,true,1.283362681,510.0,13137,122,159,1006
0.0,true,0.899465302,432.0,14329,135,155,907
0.0,true,0.756836461,344.0,6804,79,91,723
0.0,true,0.898531408,364.0,13098,126,138,816
0.0,true,0.93455556,396.0,11730,112,132,856
