Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,-1,396.0,-1.0,-1.0,10145,1.0,0.0
0.0,true,-1,404.0,-1.0,-1.0,10252,1.0,0.0
0.0,true,-1,326.0,-1.0,-1.0,6359,1.0,0.0
0.0,true,-1,346.0,-1.0,-1.0,8798,1.0,0.0
0.0,true,-1,406.0,-1.0,-1.0,8982,1.0,0.0
0.0,true,-1,420.0,-1.0,-1.0,10046,1.0,0.0
0.0,true,-1,398.0,-1.0,-1.0,11653,1.0,0.0
0.0,true,-1,336.0,-1.0,-1.0,8215,1.0,0.0
0.0,true,-1,458.0,-1.0,-1.0,9885,1.0,0.0
0.0,true,-1,300.0,-1.0,-1.0,7949,1.0,0.0
0.0,true,-1,300.0,-1.0,-1.0,6015,1.0,0.0
0.0,true,-1,400.0,-1.0,-1.0,10610,1.0,0.0
0.0,true,-1,412.0,-1.0,-1.0,8034,1.0,0.0
0.0,true,-1,408.0,-1.0,-1.0,10636,1.0,0.0
0.0,true,-1,446.0,-1.0,-1.0,12666,1.0,0.0
0.0,true,-1,350.0,-1.0,-1.0,9332,1.0,0.0
0.0,true,-1,388.0,-1.0,-1.0,12299,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,7333,1.0,0.0
0.0,true,-1,336.0,-1.0,-1.0,9982,1.0,0.0
0.0,true,-1,260.0,-1.0,-1.0,9085,1.0,0.0
0.0,true,-1,286.0,-1.0,-1.0,6015,1.0,0.0
0.0,true,-1,454.0,-1.0,-1.0,13851,1.0,0.0
0.0,true,-1,386.0,-1.0,-1.0,8241,1.0,0.0
0.0,true,-1,336.0,-1.0,-1.0,8028,1.0,0.0
0.0,true,-1,350.0,-1.0,-1.0,7728,1.0,0.0
0.0,true,-1,362.0,-1.0,-1.0,8925,1.0,0.0
0.0,true,-1,312.0,-1.0,-1.0,7653,1.0,0.0
